row_id,fold,y_true,y_pred,y_true_label,y_pred_label,prob_c1,prob_c234,prob_c5,resp_text,duplicate_group_size,duplicate_unique_labels,is_duplicate,duplicate_conflict
4,0,1,2,c234,c5,0.17554808792376006,0.37100072851653076,0.4534511835597093," Senhor, O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato. Em atenção à sua solicitação, informamos, quanto aos questionamentos enviados, que existe os processo nº 03000.001294/2017-31 e que está em análise nesta Secretaria de Gestão de Pessoas - SGP, no entanto, sem prazo definido para manifestação conclusiva e que depende de uma análise conjuntural e não somente técnica. Para mais informações sobre concursos públicos consulte o endereço http://www.planejamento.gov.br/assuntos/concursos. Atenciosamente, Serviço de Informações ao Cidadão (SIC) Ministério do Planejamento, Desenvolvimento e Gestão (MP) www.planejamento.gov.br/acesso-a-informacao ",1,1,False,False
6,0,1,2,c234,c5,0.05857363421833317,0.27370002686326256,0.6677263389184044," Prezado Sr.,  Informamos que a UFPE dispõe de 04 (quatro) códigos de vagas desocupadas para o cargo de Analista de Tecnologia, classe E.   Salientamos que os códigos disponíveis estão reservados para concurso público vigente.   Nos termos do art. 21 do Decreto n° 7.724, V.Sa. poderá apresentar recurso à autoridade hierarquicamente superior à que adotou a decisão, no prazo de 10 (dez) dias, contado da ciência da decisão. Nesse caso, deve-se clicar no botão correspondente, no sistema e-SIC, e apresentar as razões do recurso.  Att. Diretoria de Desenvolvimento de Pessoal  DDP Pró-Reitoria de Gestão de Pessoas e Qualidade de Vida  PROGEPE ",1,1,False,False
21,0,0,0,c1,c1,0.5180975141917817,0.3146018543942192,0.16730063141399903," Prezada cidadã, Esclarecemos que a Lei n&deg, 12.527 de novembro de 2011 - Lei de Acesso à Informação (LAI) dispõe sobre o acesso às informações produzidas ou custodiadas pelos órgãos e entidades públicas, em especial aquelas contidas em registros ou documentos, produzidos ou acumulados por seus órgãos ou entidades, recolhidos ou não a arquivos públicos (art.7º, inc. II). A demanda apresentada por V.S.ª caracteriza-se como uma consulta, não se enquadrando no escopo da LAI. De acordo com a publicação ""Aplicação da Lei de Acesso à Informação em recursos à CGU"", consulta é a ""situação na qual o cidadão deseja receber do Poder Público um pronunciamento sobre uma condição hipotética ou concreta"". Ainda de acordo com a publicação, ""atualmente, consultas não são aceitas como pedidos de acesso à informação quando o órgão não tenha realizado a análise de um caso semelhante e sobre ele produzido um documento, por exemplo, um parecer"" (página 16, disponível em: goo.gl/Bx4VGh).   Atenciosamente, área responsável pela resposta: Diretoria de Transparência e Controle Social Autoridade a ser direcionado eventual recurso de 1ª instância: Secretária de Transparência e Prevenção da Corrupção. Prazo para interposição do recurso de 1ª instância: 10 dias. ",1,1,False,False
27,0,0,0,c1,c1,0.5164746939247776,0.29259487918798244,0.1909304268872401," Em atenção à sua solicitação, participo que as informações requeridas estão disponíveis para toda a Sociedade no Portal da Transparência do Governo Federal, no seguinte link da internet: http://www.portaltransparencia.gov.br/viagens/consulta?situacao=1&beneficiario=19703014&ordenarPor=tipo&direcao=asc O Serviço de Informação ao Cidadão do MME informa da possibilidade de interposição de recurso por meio do sistema e-SIC, no prazo de 10 (dez) dias a contar da sua ciência, conforme disposto no ""caput"" do artigo 15 da Lei nº 12.527/2011.  Atenciosamente, Ministério de Minas e Energia Serviço de Informação ao Cidadão (SIC)  Site: http://www.mme.gov.br/web/guest/institucional/ouvidoria ",1,1,False,False
33,0,0,1,c1,c234,0.21678756570772856,0.3984414224421437,0.3847710118501278," Prezado (a) Cidadão (ã),     1.Conforme solicitação através do E-SIC, site CGU, informamos que:     1.1. Não há previsão de autorização para um novo certame.    2. Por fim, agradecemos o contato e esclarecemos que a CAIXA, na página www.caixa.gov.br/acessoainformacao, disponibiliza as informações corporativas em atendimento à Lei 12.527/2011.     3. Informamos que a CAIXA mantém SAC para informações, reclamações, cancelamentos, sugestões, serviços e elogios, com atendimento 24 horas por dia 07 dias por semana, pelo DDG 0800 726 0101 e para reclamações não solucionadas no SAC ou denúncias, a CAIXA mantém canal de Ouvidoria com atendimento de segunda a sexta-feira, das 08 às 18 horas, pelo DDG 0800 725 7474.    4. A CAIXA coloca-se à disposição através de seus canais de atendimento.     Atenciosamente,    CAIXA - Serviço de Informações ao Cidadão ",1,1,False,False
37,0,2,2,c5,c5,0.10226478220252049,0.3763591483652862,0.5213760694321933," Senhor Wellington,  O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato.  Em atenção a sua solicitação, informamos:  1-A convocação dos aprovados do concurso MP/ENAP 2015 já se encerraram?  R: Não. haverá uma nova nomeação para as vagas que não foram preenchidas com a primeira nomeação. Cumpre-nos salientar que o concurso foi prorrogado por mais um ano, a contar de 03.12.2016.   2-Se não, há previsão desta convocação?  R: Não temos uma data específica, mas estimamos que saia uma nomeação até a primeira quinzena de dezembro/16   3-Há a possibilidade de ser convocado um quantitativo maior que o número previsto no edital do concurso?  R: Não  Atenciosamente,  Responsável pela resposta: Coordenação Geral de Gestão de Pessoas - COGEP  Destinatário do recurso de primeira  instância: Diretoria de Administração - DIRAD  Ministério do Planejamento, Desenvolvimento e Gestão Serviço de Informações ao Cidadão (SIC) Ministério do Planejamento, Desenvolvimento e Gestão (MP) www.planejamento.gov.br/acesso-a-informacao ",1,1,False,False
40,0,1,2,c234,c5,0.2856770763462972,0.33368470224680136,0.3806382214069014," Prezado Senhor Edilson,  Agradecemos seu contato com a ESCOLA SUPERIOR DE GUERRA pelo sistema e-SIC.  Em resposta à sua solicitação, não existe em nossos arquivos qualquer documentação relativa ao assunto.  No mais, V.Sª. poderá acompanhar publicações, artigos, informações e outras notícias da Escola Superior de Guerra no sítio eletrônico www.esg.br .  Por fim, cabe ressaltar que, nos termos do art. 21, do Decreto nº 7.724/2012, eventual recurso sobre esta resposta poderá ser dirigido ao Ministério da Defesa, no prazo de dez dias, a contar da data desta resposta.  Atenciosamente, Serviço de Informações ao Cidadão   ESCOLA SUPERIOR DE GUERRA ",1,1,False,False
45,0,2,0,c5,c1,0.3640295962159246,0.33436341113095847,0.3016069926531169," Prezada senhora,  Segue, em anexo, cópia digitalizada do parecer nº 751/2014/PF-ANP/PGF/AGU. As informações tarjadas são informações relativas à atividade empresarial de agentes regulados de direito privado obtidas pela ANP no exercício da atividade de fiscalização e regulação da atividade econômica cuja divulgação representa vantagem competitiva a outros agentes econômicos, nos termos do §2º do art. 5º do Decreto n.º 7.724/12.  Atenciosamente,  Tiago Macedo Procuradoria Geral - PRG  Serviço de Informações ao Cidadão - SIC/ANP ",1,1,False,False
48,0,2,0,c5,c1,0.3440826065112707,0.32461346992113427,0.331303923567595," Sr. Solicitante, todas as informações solicitadas quanto a Auditoria Interna da UFMS podem ser consultadas neste link: https://www.ufms.br/universidade/auditoria-interna/ Quanto aos questionários, informamos que o e-sic pode ser utilizado para envio de questionários, desde que as informações solicitadas por ele não sejam objeto de sigilo, conforme art. 13 da Lei de Acesso a Informação e Súmula CMRI nº6 de 2015.  Atenciosamente, Ouvidoria UFMS. ",1,1,False,False
51,0,1,2,c234,c5,0.24806727570616277,0.2972240154300641,0.454708708863773, Segue parte da informação solicitada. ,1,1,False,False
61,0,2,2,c5,c5,0.14901351201150012,0.3293522368541867,0.5216342511343133," Prezado Sr. Robert,  Encaminhamos abaixo resposta fornecida pela Ouvidoria do Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul (IFMS), e informamos que, de acordo com a Lei de Acesso à Informação (Lei n. 12.527/12) e o Decreto n. 7.724/12, há a possibilidade de recurso no prazo de 10 (dez) dias, nas formas e condições estabelecidas pelo artigo 15 e 17 da referida lei e decreto, respectivamente:  ""Em atenção ao protocolo n. 23480015498201621 , informamos que o Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul(IFMS) não possui regulamentação interna concernente a Lei de Acesso à Informação(LAI),  Como também, não possui regulamentação das sanções previstas por descumprimento da Lei de Acesso à Informação (LAI).""  ?Agradecemos o seu contato.  Atenciosamente,  Serviço de Informação ao Cidadão (SIC) Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso do Sul.?? ",1,1,False,False
67,0,0,2,c1,c5,0.1267239041175373,0.35032329906015325,0.5229527968223093," Prezada Senhora, Cumprimentando-a cordialmente informamos que a informação solicitada por Vossa Senhoria está disponível ao público no Portal CEBAS (http://cebas.mec.gov.br), no ícone ""Consulta CEBAS"". Neste serviço de consulta os interessados podem obter a lista de entidades de assistência social atuantes na área da Educação que possuem o CEBAS ou que se cadastraram no SisCEBAS em cumprimento à Portaria nº 920, de 20 de julho de 2010, publicada no DOU em 21/07/2010, Seção 1, pp. 69, que contempla as seguintes informações: nome da entidade, CNPJ, Município, UF, status quato à certificação, número da portaria e vigência de certificado, bem como a relação de processos relativos ao CEBAS, link de acesso aos respectivos atos no Diário Oficial da União. Tal ferramenta possibilita ao usuário a geração de relatórios no formato XLS. Atenciosamente, Assessoria da Secretaria de Regulação e Supervisão da Educação Superior do Ministério da Educação ",1,1,False,False
73,0,0,2,c1,c5,0.28971039671170706,0.35510144900744234,0.3551881542808506," Prezado(a) Senhor(a),   A informação solicitada encontra-se disponível na página do INSS:   https://www.inss.gov.br/beneficios/auxilio-doenca/pericia-medica-hospitalar-domiciliar-e-em-transito/   Salientamos, finalmente, que o e-SIC não substitui os canais de atendimento do INSS e foi criado como ferramenta para obtenção de informações públicas com base na Lei de Acesso à Informação - LAI.   Atenciosamente, Serviço de Informações ao Cidadão  INSS ",1,1,False,False
76,0,1,0,c234,c1,0.5750615634410153,0.26563899749247827,0.15929943906650632," Prezada Miriam,   De acordo com a publicação da Aplicação da Lei de Acesso à informação na Administração Pública Federal, 2&deg, edição- MTFCO, o procedimento da LAI foi desenhado essencialmente para se acessar uma informação existente nas instituições públicas que deveria ser facilmente encontrada no site institucional. A sua demanda não se enquadra na referida lei por se tratar de solicitação de informação pessoal. Este tipo de solicitação deverá ser feita presencialmente no orgão pelo servidor interessado e ser direcionado diretamente à DGP, que é o departamento responsável pelas informações requisitadas. Estamos à disposição para outros esclarecimentos. Atenciosamente,   Equipe e-SIC ",1,1,False,False
84,0,1,2,c234,c5,0.12319850675634827,0.22685966229183493,0.6499418309518169," Prezado João Italo, Encaminhamos, em anexo, a resposta obtida junto à Divisão de Dimensionamento e Movimentação da PROGEP referente ao seu atendimento. Agradecemos seu contato. Atenciosamente, SIC/UFC ",1,1,False,False
92,0,0,0,c1,c1,0.4613415021848348,0.2641188778256819,0.27453961998948334," Prezado usuário,  Bom dia, para o atendimento desta solicitação entrar em contato no telefone 3218-2800.  Atenciosamente, ",1,1,False,False
