row_id,fold,y_true_id,y_pred_id,y_true,y_pred,prob_c1,prob_c234,prob_c5,correct,resp_text,duplicate_group_size,duplicate_num_labels,is_duplicate,is_conflicting_duplicate,experiment_id,threshold_1,threshold_2
0,3,2,0,c5,c1,0.7118317,0.19043398,0.097734325,False," Prezado(a) Senhor(a),   Esclarecemos que o Serviço de Informação ao Cidadão (SIC) não trata de sugestão, elogio, solicitação, reclamação e denúncia relacionados a objetos postados no Brasil ou no exterior.   Cumpre-nos esclarecer que a Comissão Mista de Reavaliação de Informações (CMRI), por meio da Súmula nº 01/2015, definiu:   ""Caso exista canal ou procedimento específico efetivo para obtenção da informação solicitada, o órgão ou a entidade deve orientar o interessado a buscar a informação por intermédio desse canal ou procedimento, indicando os prazos e as condições para sua utilização, sendo o pedido considerado atendido.""   Assim, especificamente sobre o seu pedido de informação, ressaltamos que foi identificado manifestação aberta na Central de Atendimento dos Correios (CAC), e, nesse sentido, ressaltamos que as informações sobre a sua remessa postal serão prestadas a V.S.ª por meio daquele canal de atendimento ao cliente.   Pelo exposto, seguem canais apropriados para tratamento de demandas dessa natureza:   Fale Conosco  registro via internet de reclamações, críticas, sugestões, dúvidas e elogios - http://www2.correios.com.br/sistemas/falecomoscorreios.   Central de Atendimento dos Correios Segunda à sexta-feira: das 08h às 20h. Sábado: 08h às 14h. Domingos e feriados: não há atendimento.   Informações sobre Produtos e Serviços: 3003 0100 (Capitais e regiões metropolitanas), 0800 725 7282 (demais localidades), 0800 725 0898 (exclusivo para portadores de deficiência auditiva), 3003 1383 (Informações Banco Postal).   Reclamações, críticas, sugestões, dúvidas, elogios e denúncias: 0800 725 0100.     Caso a resposta não seja satisfatória, a Ouvidoria da Empresa poderá ser acionada, bastando acessar http://www.correios.com.br/ouvidoria e preencher o formulário correspondente. Ao registrar sua manifestação é preciso informar o protocolo fornecido pelo(a) atendente da Central de Atendimento dos Correios (CAC) ou pelo sistema da internet.     Atenciosamente,   Serviço de Informação ao Cidadão Empresa Brasileira de Correios e Telégrafos   Conforme previsto no art. 21 do Decreto nº 7.724/2012, que regulamenta Lei nº 12.527/2011, eventuais recursos interpostos pelo cidadão no prazo de até 10 dias  contados da ciência da decisão  serão dirigidos ao Vice-Presidente de Operações. ",16,3,True,True,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
1,3,0,0,c1,c1,0.39764595,0.3139854,0.28836864,True," Prezada cidadã,  As informações sobre óbitos no Brasil são disponibilizadas para toda população na internet, o mesmo acontece com as informações sobre nascidos vivos. A Coordenação Geral de Informações e Análise Epidemiológica (CGIAE) é responsável pelo Sistema de Informações sobre Mortalidade (SIM) e pelo Sistema de Informações sobre Nascidos Vivos (Sinasc). Atualmente os dados são disponibilizados a partir de 1996 até 2015 no site do Datasus. O dado de 2015 é o mais recente e está concluído. O ano de 2016 será disponibilizado, em preliminar ainda. Segue o link do Datasus do Sinasc 1994 a 2015: http://www2.datasus.gov.br/DATASUS/index.php?area=0205 Transferência/download de arquivo (1979 a 2015): http://www2.datasus.gov.br/DATASUS/index.php?area=0901&item=1 Acessar SINASC.  Para acessar o SIM: Segue o link do Datasus: http://www.datasus.gov.br Acesso à Informação\Estatísticas vitais: http://datasus.saude.gov.br/informacoes-de-saude/tabnet/estatisticas-vitais Mortalidade  1996 a 2015, pela CID-10 http://www2.datasus.gov.br/DATASUS/index.php?area=0205&id=6937  Segue por e-mail os dados de 2016 (compactados),que devido a configuração do arquivo, não ser permitido neste Sistema e em anexo os respectivos dicionários de dados. ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
7,3,1,0,c234,c1,0.5123266,0.28459877,0.20307462,False," Prezado (a) Senhor (a),  Em resposta ao seu pedido de acesso à informação realizado no Serviço de Informação ao Cidadão do Ministério do Trabalho (SIC/MTb), encaminhamos anexa a informação fornecida pela área responsável pelo assunto.  Atenciosamente,  Serviço de Informações ao Cidadão Ministério do Trabalho ",30,3,True,True,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
11,3,1,2,c234,c5,0.22135067,0.29378146,0.48486787,False," Senhora, O Serviço de Informações ao Cidadão do Ministério do Planejamento, Desenvolvimento e Gestão agradece o seu contato.   Em atenção à solicitação, informamos que o dado sobre o quantitativo de servidores públicos federais ocupantes do cargo de Secretária está disponibilizado no Painel Estatístico de Pessoal (PEP), endereço eletrônico: http://painel.pep.planejamento.gov.br.   Para realização da consulta, siga os seguintes passos:   1) Acesse o PEP pelo endereço eletrônico acima, selecionando os ícones:   2) Clique, no menu superior, em ?SERVIDORES?,   3) Selecione ?POR TIPO?,   4) Na aba Servidores, selecione o ano/mês desejados,   5) Em ?Grupo Situação do Vínculo? clique em ?Ativo?,   6) Clique em ?TABELAS?, ?Sem GDF? e, na coluna intitulada ?Cargo? selecione, com a tecla ?Ctrl? pressionada, o cargo desejado,   7) Para mais informações sobre a pesquisa, na mesma seção ?SERVIDORES?, vá em ?DADOS GERAIS?.   Essa consulta apresenta outros dados referentes ao cargo, tais como escolaridade, Plano/Carreira, Faixa Etária.   O PEP possibilita várias consultas com o uso de gráficos e tabelas, a aplicação de filtros e o cruzamento dos dados de pessoal. é também possível a realização de consultas personalizadas (""Faça você mesmo""), assim como a obtenção dos dados para planilhas eletrônicas - excel e csv, admitindo a impressão. Para mais informações sobre a exploração de dados no PEP utilizando planilhas, acesse http://www.planejamento.gov.br/assuntos/servidores/painel-estatistico-de-pessoal/pep/ ?Documentos de Apoio? ?Manual do Painel Estatístico de Pessoal?.    Quanto ao recebimento de ""gratificação especial"", informamos que não existe tal gratificação para o exercício específico do cargo de secretária.   A jornada de trabalho dos servidores públicos federais, salvo disposições legais em contrário, é de 40 horas semanais, sendo realizada em turnos diários de 8 horas, conforme estabelece o Decreto nº 1.590, de 1995, e as legislações que regulamentam os planos de cargos, sejam gerais e especiais, ou carreiras do Poder Executivo Federal.   Porém, o referido Decreto, em seu art. 4º, faculta aos Ministros de Estado e aos titulares de órgãos essenciais da Presidência da República, bem como aos seus respectivos Chefes de Gabinete, e, também, aos titulares de cargos de Natureza Especial e respectivos Chefes de Gabinete autorizar a jornada de trabalho de 6 (seis) horas diárias e 30 (trinta) horas semanais às secretárias que os atendam diretamente, limitadas, em cada caso, a quatro, sem redução de remuneração, uma vez que a possibilidade da jornada de trabalho diferenciada advém da necessidade do serviço.                                 Atenciosamente, ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
19,3,0,0,c1,c1,0.8656789,0.094458565,0.039862495,True," Prezado(a) Sr(a). Lucio, Encaminhamos-lhe resposta da Diretoria de Governo do Banco do Brasil ao seu pedido de informação: ""Prezado Senhor Lúcio Oliveira da Conceição,    Referindo-nos ao vosso pedido de disponibilização, em PDF, de extrato de aplicação financeira dos recursos da cota do ICMS, do Fundo de Participação dos Municípios - FPM e do FUNDEB dos municípios do município de Porto Velho/RO, referente ao mês de outubro/2017, esclarecemos, primeiramente, que o Banco do Brasil é o agente financeiro do Tesouro Nacional, na forma do artigo 19 da Lei nº 4.595/1964, e tem como competência, entre outras, a distribuição de recursos de transferências constitucionais e legais da União para Estados e Municípios.   Em relação às transferências constitucionais e legais, entre elas o Fundo de Participação dos Estados  FPE, Fundo de Participação dos Municípios  FPM e o Fundo de Manutenção da Educação Básica e de Valorização dos Profissionais da Educação  FUNDEB, o Banco do Brasil divulga no seu sítio eletrônico na Internet os valores distribuídos aos entes governamentais desde 1997, em cumprimento aos princípios de publicidade e transparência requeridos pelos órgãos de fiscalização e controle.    Dessa forma, V.Sa. poderá consultar a distribuição das transferências constitucionais legais a determinado ente governamental, acessando o link abaixo:https://www42.bb.com.br/portalbb/daf/beneficiario,802,4647,4652,0,1.bbx?_ga=2.15363637.2047537219.1533590671-975939496.1491256051&&pk_vid=5fc4173c92ffabc21533590691e71b6b,   Ao acessar o referido endereço eletrônico, bastará V.Sa. informar a transferência governamental desejada (FPE, FPM, FUNDEB etc.), indicar o ente público e a data, a qual está disponível em períodos de 60 (sessenta) dias.   Esclarecemos, também, que a distribuição das transferências constitucionais e legais da União para Estados e Municípios podem ser consultadas no sítio eletrônico da Secretaria do Tesouro Nacional na internet, por meio do seguinte endereço: http://www.tesouro.fazenda.gov.br/web/stn/-/transferencias-constitucionais-e-legais,    Demais informações sobre a movimentação financeiras das contas de Estados e Municípios relacionadas às transferências constitucionais e legais e suas formas de disponibilização poderão ser obtidas diretamente com cada ente governamental ou junto aos órgãos de fiscalização e controle que recebem periodicamente os dados fornecidos pelo Banco do Brasil: Tribunal de Contas da União  TCU, Controladoria-Geral da União, Ministério Público Federal  MPF e Departamento de Polícia Federal  DPF. Atenciosamente,  Amauri Garcia Lellis Jr. Gerente Executivo"" Atenciosamente,   Serviço de Informação ao Cidadão do Banco do Brasil  SICBB   Recurso   Conforme a Lei 12527/11 em seu artigo Art. 15, no caso de indeferimento de acesso a informações ou às razões da negativa do acesso, poderá o interessado interpor recurso contra a decisão no prazo de 10 (dez) dias a contar da sua ciência.   Parágrafo único. O recurso será dirigido à autoridade hierarquicamente superior à que exarou a decisão impugnada, que deverá se manifestar no prazo de 5 (cinco) dias ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
20,3,0,2,c1,c5,0.0541988,0.122188926,0.8236123,False," Boa tarde  Bom dia,  Conforme solicitação através do sistema e-SIC da CGU, encaminhamos em anexo a lista com os cargos existentes, atualmente, na Universidade Federal Rural de Pernambuco, somando um total de 93 cargos do PCCTAE. Do quantitativo total de códigos de vaga existentes, 1125 estão ocupados e 26 estão vagos.  Atenciosamente Serviço de Informação ao Cidadão - SIC Universidade Federal Rural de Pernambuco - UFRPE ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
24,3,1,0,c234,c1,0.35086608,0.31801417,0.33111975,False," Prezado Senhor Bruno R. Villela   Tendo em vista o presente pedido de acesso à informação gerado no Sistema e-SIC/CGU, após encaminhamento ao setor competente, a FAMED, esta nos respondeu conforme segue (também anexo):  ____________________________________________________________________  ...  Respondendo aos questionamentos que competem a esta Direção, informamos que: Quanto às providencias adotadas em relação ao extravio do PAD n. 23104.004651/2010-96, foi aberto um processo de sindicância nº 23104.000517/2015-21 para apurar as circunstâncias do extravio, bem como para tentar reconstituir o original. O processo de sindicância foi aberto após uma consulta da Reitoria ao diretor da FAMED, à época, onde fora pedido o envio do PAD n. 23104.004651/2010-96. Como o processo solicitado não foi encontrado, o diretor da FAMED, orientado pela reitoria, decidiu por iniciar o processo de sindicância.  A Comissão de Sindicância foi instalada em 09/03/2015, conforme ata de abertura. Seus membros eram: os servidores docentes José julio Gonçalves Saraiva (Presidente), Adélia Delfina da Motta Silva Correa, Elizete da Rocha Vieira Barros e o servidor técnico administrativo Roberto Ornellas Assis Ferreira (secretário).  ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
34,3,2,2,c5,c5,0.09982067,0.19338137,0.70679796,True," Prezada Senhora,  Em atenção ao seu pedido de acesso à informação, formulado com base na Lei nº 12.527/2011, regulamentada pelo Decreto nº 7.724/2012, registrada sob o protocolo de nº 71200000353201839, a Gerência de Informação da Secretaria Nacional de Habitação do Ministério das Cidades informa que encaminho arquivo anexo com os contratos de Urbanização de Assentamentos Precários realizados no âmbito desta Secretaria de Habitação. Se ainda restar alguma dúvida, estamos à disposição para esclarecê-la, pelo telefone 61 2108-1072. Caso queira tratar de outra questão, sugerimos que entre com nova solicitação de informação. Comunicamos a Vossa Senhoria que a apresentação de recurso a esta resposta, se for o caso, deverá obedecer ao disposto na Seção II do Capítulo III da Lei nº 12.527/2011 e na Seção IV do Capítulo IV do Decreto nº 7.724/2012.  Dessa forma, estamos concluindo sua solicitação de informação  Protocolo NUP 71200000353201839.  Atenciosamente,  Serviço de Informação ao Cidadão  SIC  Ministério das Cidades  sic@cidades.gov.br ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
35,3,2,2,c5,c5,0.14270914,0.24081671,0.61647415,True," Prezada senhora,   Em atendimento ao seu pedido de informação registrado no SIC/Dataprev, informamos que:   No momento, a empresa não tem previsão de convocação de candidatos para o perfil Gestão de TIC, localidade de lotação São Paulo/SP. A Dataprev efetiva as convocações de candidatos aprovados em cadastro reserva de concurso público nas seguintes situações:   - Reposição de empregados desligados, caso seja necessária a substituição, - Aumento de quadro em função da necessidade operacional e/ou crescimento produtivo da empresa.   O Concurso Público 01/2014 da Dataprev foi homologado em 13/03/15 e o término da validade é 13/03/17. O certame tem validade de dois anos, prorrogável uma única vez por até igual período, a contar da data de homologação.   Lembramos que de acordo com o subitem 19.6 do Edital, "" A aprovação no concurso público na classificação correspondente ao cadastro reserva gera, para o candidato, apenas a expectativa de direito à contratação. Durante o período de validade do concurso, a Dataprev reserva-se o direito de proceder às contratações em número que atenda ao interesse e às necessidades do serviço, de acordo com a disponibilidade orçamentária e com o número de vagas que vierem a surgir durante a validade do certame"".   Atenciosamente,  Divisão de Evolução Funcional - DIEV  Serviço de Informações ao Cidadão - SIC EMPRESA DE TECNOLOGIA E INFORMAÇÕES DA PREVIDÊNCIA   DATAPREV ",1,1,False,False,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
36,3,2,0,c5,c1,0.49816895,0.28943574,0.21239533,False," Prezada Senhora,   Encaminhamos em anexo resposta ao pedido de informação.  Considerando o disposto no art. 19, inc. II, c/c o art. 21, caput, do Decreto n.º 7.724, de 2012, informa-se que poderá ser apresentado recurso, no prazo de 10 dias, contado da ciência da decisão.  Atenciosamente, Serviço de Informação ao Cidadão Ministério da Fazenda ",2,2,True,True,ordinal_thresholds_v1,-0.5000691413879395,0.8183680772781372
